window_id,start_index,start,end,mean_temp,sd_temp,min_temp,max_temp,lag1_autocorr
0,0,2009-01-01T00:10,2009-01-08T00:00,-7.614,6.0556,-23.01,-0.63,0.999361
1,22081,2009-06-03T08:20,2009-06-10T08:10,11.3989,3.37,3.94,19.29,0.996979
2,44162,2009-11-03T16:50,2009-11-10T16:40,4.8511,2.0313,0.3,10.27,0.995921
3,66244,2010-04-06T01:10,2010-04-13T01:00,7.5033,4.4278,1.04,18.74,0.997849
4,88325,2010-09-05T09:20,2010-09-12T09:10,12.9805,3.5318,3.99,21.47,0.997228
5,110406,2011-02-05T17:30,2011-02-12T17:20,4.2089,4.5663,-4.84,11.92,0.998368
6,132487,2011-07-09T01:40,2011-07-16T01:30,18.4421,4.1912,11.36,27.57,0.99752
7,154568,2011-12-09T09:50,2011-12-16T09:40,3.1856,2.4715,-3.3,8.95,0.997103
8,176650,2012-05-10T18:10,2012-05-17T18:00,11.689,6.2692,1.29,29.54,0.9986
9,198731,2012-10-11T02:20,2012-10-18T02:10,8.6928,3.4485,1.04,16.33,0.997684
10,220812,2013-03-13T10:30,2013-03-20T10:20,-1.7322,4.357,-13.51,5.28,0.998929
11,242893,2013-08-13T18:50,2013-08-20T18:40,17.6017,4.8121,7.46,28.0,0.997951
12,264975,2014-01-14T03:10,2014-01-21T03:00,2.7517,2.4288,-1.42,8.66,0.998384
13,287056,2014-06-15T04:50,2014-06-22T04:40,14.7751,3.3316,7.6,23.46,0.996432
14,309137,2014-11-16T05:00,2014-11-23T04:50,5.4396,1.8984,1.73,10.39,0.996732
15,331218,2015-04-18T13:10,2015-04-25T13:00,9.6582,5.6881,-1.48,20.7,0.998491
16,353299,2015-09-18T21:20,2015-09-25T21:10,12.5876,2.6747,6.6,17.99,0.996149
17,375381,2016-02-19T05:40,2016-02-26T05:30,3.7115,4.4577,-3.65,12.87,0.998932
18,397462,2016-07-21T13:50,2016-07-28T13:40,21.3426,3.412,14.8,29.6,0.996082
19,419543,2016-12-25T00:10,2017-01-01T00:00,3.4087,4.3251,-6.87,11.5,0.999015
