"Root","Name","GB","LastWrite"
"C:\Program Files (x86)","Overwatch","71,34","2026-06-30 23:08"
"C:\Program Files (x86)","Hearthstone","12,69","2026-06-30 23:07"
"C:\Program Files (x86)","Microsoft","4,75","2024-08-15 01:20"
"C:\Program Files","Microsoft Office","4,73","2026-06-29 09:12"
"C:\Program Files","Blackmagic Design","3,8","2025-01-09 05:03"
"C:\Program Files","Autodesk","3,79","2026-06-24 10:43"
"C:\Program Files (x86)","Battle.net","2,22","2026-07-02 01:27"
"C:\Program Files (x86)","Epic Games","1,76","2024-08-16 19:06"
"C:\Program Files (x86)","Citrix","1,71","2026-06-24 09:42"
"C:\Program Files","BraveSoftware","1,49","2025-08-25 01:09"
"C:\Program Files","Google","1,19","2024-08-15 01:39"
"C:\Program Files","Common Files","0,94","2026-06-29 09:13"
"C:\Program Files (x86)","MSI","0,66","2026-04-23 02:56"
"C:\Program Files (x86)","OneBrowser","0,65","2025-08-25 01:15"
"C:\Program Files","WSL","0,63","2025-01-07 21:21"
"C:\Program Files (x86)","Blackmagic Design","0,58","2025-01-09 05:00"
"C:\Program Files","LGHUB","0,57","2026-05-09 11:19"
"C:\Program Files","Microsoft OneDrive","0,57","2026-07-01 00:34"
"C:\Program Files (x86)","Google","0,43","2024-08-15 01:38"
"C:\Program Files (x86)","Common Files","0,41","2025-01-31 19:07"
"C:\Program Files","Git","0,4","2025-01-07 21:26"
"C:\Program Files","Epic Games","0,35","2026-07-03 01:32"
"C:\Program Files","Windows Defender Advanced Threat Protection","0,24","2026-05-28 18:42"
"C:\Program Files","Oracle","0,21","2025-01-16 17:42"
"C:\Program Files","Zotero","0,19","2025-08-31 03:22"
"C:\Program Files","dotnet","0,18","2025-01-31 13:21"
"C:\Program Files","Riot Vanguard","0,17","2026-07-03 01:20"
"C:\Program Files (x86)","dotnet","0,15","2026-03-03 14:29"
"C:\Program Files","AMD","0,12","2024-08-15 12:44"
"C:\Program Files (x86)","AMD","0,11","2024-08-15 12:32"
"C:\Program Files","ZoomVDIPluginManagement","0,08","2026-05-20 07:49"
"C:\Program Files","Citrix","0,07","2026-05-20 07:49"
"C:\Program Files (x86)","BraveSoftware","0,07","2025-08-25 01:09"
"C:\Program Files (x86)","Windows Kits","0,05","2025-01-31 13:21"
"C:\Program Files","Windows Defender","0,05","2025-12-03 15:40"
