scenario,block_position,missing_rate,method,mae,rmse,r2
random,none,0.10,forward_fill,0.052069,0.072611,0.998505
random,none,0.10,linear_interpolation,0.047126,0.058799,0.999020
random,none,0.10,time_interpolation,0.047126,0.058799,0.999020
random,none,0.10,cubic_interpolation,0.040592,0.050278,0.999283
random,none,0.10,spline_interpolation,0.040600,0.050289,0.999283
random,none,0.10,knn,0.086481,0.110954,0.996509
random,none,0.10,decision_tree,0.156845,0.193868,0.989342
random,none,0.10,random_forest,0.161830,0.220434,0.986221
random,none,0.20,forward_fill,0.074138,0.107687,0.996579
random,none,0.20,linear_interpolation,0.050172,0.067993,0.998636
random,none,0.20,time_interpolation,0.050172,0.067993,0.998636
random,none,0.20,cubic_interpolation,0.048758,0.067235,0.998666
random,none,0.20,spline_interpolation,0.048762,0.067240,0.998666
random,none,0.20,knn,0.084087,0.106820,0.996634
random,none,0.20,decision_tree,0.166241,0.219789,0.985750
random,none,0.20,random_forest,0.190285,0.271879,0.978195
random,none,0.30,forward_fill,0.101163,0.158833,0.993619
random,none,0.30,linear_interpolation,0.050229,0.066223,0.998891
random,none,0.30,time_interpolation,0.050229,0.066223,0.998891
random,none,0.30,cubic_interpolation,0.044820,0.060632,0.999070
random,none,0.30,spline_interpolation,0.044815,0.060635,0.999070
random,none,0.30,knn,0.101559,0.142171,0.994887
random,none,0.30,decision_tree,0.163283,0.227479,0.986911
random,none,0.30,random_forest,0.195157,0.272757,0.981182
random,none,0.40,forward_fill,0.136609,0.200159,0.990640
random,none,0.40,linear_interpolation,0.061983,0.091954,0.998025
random,none,0.40,time_interpolation,0.061983,0.091954,0.998025
random,none,0.40,cubic_interpolation,0.084893,0.141910,0.995295
random,none,0.40,spline_interpolation,0.084856,0.142062,0.995285
random,none,0.40,knn,0.130441,0.187956,0.991747
random,none,0.40,decision_tree,0.169261,0.232006,0.987425
random,none,0.40,random_forest,0.213592,0.292134,0.980062
random,none,0.50,forward_fill,0.154931,0.223011,0.987849
random,none,0.50,linear_interpolation,0.067558,0.098450,0.997632
random,none,0.50,time_interpolation,0.067558,0.098450,0.997632
random,none,0.50,cubic_interpolation,0.078573,0.130034,0.995869
random,none,0.50,spline_interpolation,0.078839,0.130379,0.995847
random,none,0.50,knn,0.376107,1.071030,0.719748
random,none,0.50,decision_tree,0.172927,0.240818,0.985831
random,none,0.50,random_forest,0.231565,0.300444,0.977947
random,none,0.60,forward_fill,0.164798,0.232370,0.987487
random,none,0.60,linear_interpolation,0.073223,0.105291,0.997431
random,none,0.60,time_interpolation,0.073223,0.105291,0.997431
random,none,0.60,cubic_interpolation,0.087411,0.131854,0.995971
random,none,0.60,spline_interpolation,0.087632,0.132136,0.995954
random,none,0.60,knn,0.279178,0.779583,0.859165
random,none,0.60,decision_tree,0.186087,0.251694,0.985320
random,none,0.60,random_forest,0.262134,0.337455,0.973611
random,none,0.70,forward_fill,0.172228,0.235112,0.987028
random,none,0.70,linear_interpolation,0.081516,0.111850,0.997064
random,none,0.70,time_interpolation,0.081516,0.111850,0.997064
random,none,0.70,cubic_interpolation,0.091156,0.136413,0.995633
random,none,0.70,spline_interpolation,0.091271,0.136509,0.995627
random,none,0.70,knn,0.391537,0.806868,0.847218
random,none,0.70,decision_tree,0.208230,0.283147,0.981186
random,none,0.70,random_forest,0.270013,0.379355,0.966228
random,none,0.80,forward_fill,0.197043,0.268464,0.983445
random,none,0.80,linear_interpolation,0.091938,0.125903,0.996359
random,none,0.80,time_interpolation,0.091938,0.125903,0.996359
random,none,0.80,cubic_interpolation,0.105480,0.156630,0.994365
random,none,0.80,spline_interpolation,0.105574,0.156678,0.994362
random,none,0.80,knn,0.635350,1.064325,0.739808
random,none,0.80,decision_tree,0.282356,0.405236,0.962281
random,none,0.80,random_forest,0.281884,0.378333,0.967123
