scenario,block_position,missing_rate,method,mae,rmse,r2,mae_sd,rmse_sd,r2_sd,mae_min,mae_max,n_repeats,number_of_missing_values,number_of_evaluated_values
random,none,0.10,forward_fill,0.177079,0.257876,0.994663,0.052226,0.068390,0.002916,0.090297,0.281287,20,101,101
random,none,0.10,linear_interpolation,0.080177,0.121599,0.998775,0.025728,0.039219,0.000797,0.043977,0.131056,20,101,101
random,none,0.10,time_interpolation,0.080177,0.121599,0.998775,0.025728,0.039219,0.000797,0.043977,0.131056,20,101,101
random,none,0.10,cubic_interpolation,0.072118,0.111466,0.998970,0.024677,0.041121,0.000741,0.040727,0.129744,20,101,101
random,none,0.10,spline_interpolation,0.072094,0.111449,0.998971,0.024670,0.041116,0.000741,0.040782,0.129738,20,101,101
random,none,0.10,moving_average,0.194131,0.282248,0.993258,0.047298,0.062526,0.003773,0.112272,0.258612,20,101,101
random,none,0.10,knn,0.080177,0.121599,0.998775,0.025728,0.039219,0.000797,0.043977,0.131056,20,101,101
random,none,0.10,knn_upgraded,0.087120,0.129783,0.998567,0.026482,0.040974,0.000957,0.052164,0.140998,20,101,101
random,none,0.10,decision_tree,0.085689,0.130201,0.998588,0.026414,0.042355,0.000928,0.045239,0.136484,20,101,101
random,none,0.10,random_forest,0.079641,0.120860,0.998814,0.026279,0.041275,0.000740,0.042304,0.134155,20,101,101
random,none,0.10,neural_net,0.091298,0.138770,0.998412,0.029505,0.045695,0.000992,0.052924,0.153677,20,101,101
random,none,0.10,adaptive_imputation,0.072094,0.111449,0.998971,0.024670,0.041116,0.000741,0.040782,0.129738,20,101,101
random,none,0.20,forward_fill,0.190277,0.280817,0.993621,0.049856,0.061821,0.003329,0.110891,0.284505,20,202,202
random,none,0.20,linear_interpolation,0.088683,0.138228,0.998403,0.027360,0.050596,0.001146,0.050454,0.146370,20,202,202
random,none,0.20,time_interpolation,0.088683,0.138228,0.998403,0.027360,0.050596,0.001146,0.050454,0.146370,20,202,202
random,none,0.20,cubic_interpolation,0.082070,0.132190,0.998544,0.026814,0.055345,0.001017,0.046844,0.138002,20,202,202
random,none,0.20,spline_interpolation,0.082056,0.132109,0.998545,0.026844,0.055429,0.001018,0.046617,0.138174,20,202,202
random,none,0.20,moving_average,0.198952,0.288875,0.993158,0.048742,0.063724,0.003912,0.107260,0.261669,20,202,202
