repeat,window_id,seed,scenario,block_position,missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0,0,42,random,none,0.10,forward_fill,0.158713,0.286686,0.997583,101,101
0,0,42,random,none,0.10,linear_interpolation,0.062591,0.098294,0.999716,101,101
0,0,42,random,none,0.10,time_interpolation,0.062591,0.098294,0.999716,101,101
0,0,42,random,none,0.10,cubic_interpolation,0.047199,0.082943,0.999798,101,101
0,0,42,random,none,0.10,spline_interpolation,0.047038,0.082779,0.999798,101,101
0,0,42,random,none,0.10,moving_average,0.146382,0.221196,0.998561,101,101
0,0,42,random,none,0.10,knn,0.062591,0.098294,0.999716,101,101
0,0,42,random,none,0.10,knn_upgraded,0.069570,0.106019,0.999669,101,101
0,0,42,random,none,0.10,decision_tree,0.076094,0.120925,0.999570,101,101
0,0,42,random,none,0.10,random_forest,0.065734,0.105061,0.999675,101,101
0,0,42,random,none,0.10,neural_net,0.072439,0.117532,0.999594,101,101
0,0,42,random,none,0.10,adaptive_imputation,0.047038,0.082779,0.999798,101,101
1,1,7961,random,none,0.10,forward_fill,0.199802,0.269400,0.994075,101,101
1,1,7961,random,none,0.10,linear_interpolation,0.113086,0.161907,0.997860,101,101
1,1,7961,random,none,0.10,time_interpolation,0.113086,0.161907,0.997860,101,101
1,1,7961,random,none,0.10,cubic_interpolation,0.100067,0.140267,0.998394,101,101
1,1,7961,random,none,0.10,spline_interpolation,0.100019,0.140208,0.998395,101,101
1,1,7961,random,none,0.10,moving_average,0.252489,0.360593,0.989385,101,101
1,1,7961,random,none,0.10,knn,0.113086,0.161907,0.997860,101,101
1,1,7961,random,none,0.10,knn_upgraded,0.125191,0.180263,0.997347,101,101
1,1,7961,random,none,0.10,decision_tree,0.115981,0.172011,0.997584,101,101
1,1,7961,random,none,0.10,random_forest,0.112406,0.159814,0.997915,101,101
1,1,7961,random,none,0.10,neural_net,0.121144,0.170541,0.997626,101,101
1,1,7961,random,none,0.10,adaptive_imputation,0.100019,0.140208,0.998395,101,101
2,2,15880,random,none,0.10,forward_fill,0.136535,0.193342,0.989999,101,101
2,2,15880,random,none,0.10,linear_interpolation,0.049257,0.070938,0.998654,101,101
2,2,15880,random,none,0.10,time_interpolation,0.049257,0.070938,0.998654,101,101
2,2,15880,random,none,0.10,cubic_interpolation,0.043443,0.058815,0.999075,101,101
2,2,15880,random,none,0.10,spline_interpolation,0.043450,0.058823,0.999074,101,101
2,2,15880,random,none,0.10,moving_average,0.144651,0.200966,0.989195,101,101
2,2,15880,random,none,0.10,knn,0.049257,0.070938,0.998654,101,101
2,2,15880,random,none,0.10,knn_upgraded,0.060279,0.084412,0.998094,101,101
2,2,15880,random,none,0.10,decision_tree,0.052250,0.074614,0.998511,101,101
2,2,15880,random,none,0.10,random_forest,0.051443,0.073346,0.998561,101,101
2,2,15880,random,none,0.10,neural_net,0.058531,0.088122,0.997922,101,101
2,2,15880,random,none,0.10,adaptive_imputation,0.043450,0.058823,0.999074,101,101
3,3,23799,random,none,0.10,forward_fill,0.191188,0.267750,0.996279,101,101
3,3,23799,random,none,0.10,linear_interpolation,0.074620,0.117175,0.999287,101,101
3,3,23799,random,none,0.10,time_interpolation,0.074620,0.117175,0.999287,101,101
3,3,23799,random,none,0.10,cubic_interpolation,0.061071,0.097008,0.999512,101,101
3,3,23799,random,none,0.10,spline_interpolation,0.061124,0.097011,0.999511,101,101
3,3,23799,random,none,0.10,moving_average,0.210191,0.320657,0.994663,101,101
3,3,23799,random,none,0.10,knn,0.074620,0.117175,0.999287,101,101
3,3,23799,random,none,0.10,knn_upgraded,0.077336,0.118632,0.999269,101,101
3,3,23799,random,none,0.10,decision_tree,0.081542,0.124445,0.999196,101,101
3,3,23799,random,none,0.10,random_forest,0.072726,0.117110,0.999288,101,101
3,3,23799,random,none,0.10,neural_net,0.087605,0.148973,0.998848,101,101
3,3,23799,random,none,0.10,adaptive_imputation,0.061124,0.097011,0.999511,101,101
4,4,31718,random,none,0.10,forward_fill,0.166238,0.251835,0.994802,101,101
4,4,31718,random,none,0.10,linear_interpolation,0.068218,0.102481,0.999139,101,101
4,4,31718,random,none,0.10,time_interpolation,0.068218,0.102481,0.999139,101,101
4,4,31718,random,none,0.10,cubic_interpolation,0.062355,0.098779,0.999200,101,101
4,4,31718,random,none,0.10,spline_interpolation,0.062355,0.098779,0.999200,101,101
4,4,31718,random,none,0.10,moving_average,0.195273,0.283546,0.993411,101,101
4,4,31718,random,none,0.10,knn,0.068218,0.102481,0.999139,101,101
4,4,31718,random,none,0.10,knn_upgraded,0.070129,0.101429,0.999157,101,101
4,4,31718,random,none,0.10,decision_tree,0.078050,0.110931,0.998992,101,101
4,4,31718,random,none,0.10,random_forest,0.071561,0.100140,0.999178,101,101
4,4,31718,random,none,0.10,neural_net,0.075339,0.110668,0.998996,101,101
4,4,31718,random,none,0.10,adaptive_imputation,0.062355,0.098779,0.999200,101,101
5,5,39637,random,none,0.10,forward_fill,0.196238,0.278408,0.996745,101,101
5,5,39637,random,none,0.10,linear_interpolation,0.082670,0.127326,0.999319,101,101
5,5,39637,random,none,0.10,time_interpolation,0.082670,0.127326,0.999319,101,101
5,5,39637,random,none,0.10,cubic_interpolation,0.074399,0.109403,0.999497,101,101
5,5,39637,random,none,0.10,spline_interpolation,0.074399,0.109403,0.999497,101,101
5,5,39637,random,none,0.10,moving_average,0.224395,0.319372,0.995717,101,101
5,5,39637,random,none,0.10,knn,0.082670,0.127326,0.999319,101,101
5,5,39637,random,none,0.10,knn_upgraded,0.086483,0.132159,0.999267,101,101
5,5,39637,random,none,0.10,decision_tree,0.094074,0.144449,0.999124,101,101
5,5,39637,random,none,0.10,random_forest,0.077774,0.118999,0.999405,101,101
5,5,39637,random,none,0.10,neural_net,0.083737,0.125321,0.999341,101,101
5,5,39637,random,none,0.10,adaptive_imputation,0.074399,0.109403,0.999497,101,101
6,6,47556,random,none,0.10,forward_fill,0.195743,0.268393,0.995395,101,101
