method,mae,scenario,block_position,missing_rate
forward_fill,0.052069,random,none,0.10
linear_interpolation,0.047126,random,none,0.10
time_interpolation,0.047126,random,none,0.10
cubic_interpolation,0.040600,random,none,0.10
spline_interpolation,0.040600,random,none,0.10
knn,0.086481,random,none,0.10
decision_tree,0.156845,random,none,0.10
random_forest,0.161830,random,none,0.10
forward_fill,0.074138,random,none,0.20
linear_interpolation,0.050172,random,none,0.20
time_interpolation,0.050172,random,none,0.20
cubic_interpolation,0.048762,random,none,0.20
spline_interpolation,0.048762,random,none,0.20
knn,0.084087,random,none,0.20
decision_tree,0.166241,random,none,0.20
random_forest,0.190285,random,none,0.20
forward_fill,0.101163,random,none,0.30
linear_interpolation,0.050229,random,none,0.30
time_interpolation,0.050229,random,none,0.30
cubic_interpolation,0.044815,random,none,0.30
spline_interpolation,0.044815,random,none,0.30
knn,0.101559,random,none,0.30
decision_tree,0.163283,random,none,0.30
random_forest,0.195157,random,none,0.30
forward_fill,0.136609,random,none,0.40
linear_interpolation,0.061983,random,none,0.40
time_interpolation,0.061983,random,none,0.40
cubic_interpolation,0.084856,random,none,0.40
spline_interpolation,0.084856,random,none,0.40
knn,0.130441,random,none,0.40
decision_tree,0.169261,random,none,0.40
random_forest,0.213592,random,none,0.40
forward_fill,0.154931,random,none,0.50
linear_interpolation,0.067558,random,none,0.50
time_interpolation,0.067558,random,none,0.50
cubic_interpolation,0.078839,random,none,0.50
spline_interpolation,0.078839,random,none,0.50
knn,0.376107,random,none,0.50
decision_tree,0.172927,random,none,0.50
random_forest,0.231565,random,none,0.50
forward_fill,0.164798,random,none,0.60
linear_interpolation,0.073223,random,none,0.60
time_interpolation,0.073223,random,none,0.60
cubic_interpolation,0.087632,random,none,0.60
spline_interpolation,0.087632,random,none,0.60
knn,0.279178,random,none,0.60
decision_tree,0.186087,random,none,0.60
random_forest,0.262134,random,none,0.60
forward_fill,0.172228,random,none,0.70
linear_interpolation,0.081516,random,none,0.70
time_interpolation,0.081516,random,none,0.70
cubic_interpolation,0.091271,random,none,0.70
spline_interpolation,0.091271,random,none,0.70
