index,timestamp,scenario,block_position,missing_rate_percent,method,original_temperature,damaged_temperature,reconstructed_temperature,error
5,2009-01-01 01:00:00,random,none,20,linear_interpolation,-8.05,,-7.945,0.10500000000000043
14,2009-01-01 02:30:00,random,none,20,linear_interpolation,-8.66,,-8.745,0.08499999999999908
18,2009-01-01 03:10:00,random,none,20,linear_interpolation,-8.84,,-8.875,0.03500000000000014
24,2009-01-01 04:10:00,random,none,20,linear_interpolation,-9.23,,-9.27,0.03999999999999915
32,2009-01-01 05:30:00,random,none,20,linear_interpolation,-9.9,,-9.795,0.10500000000000043
48,2009-01-01 08:10:00,random,none,20,linear_interpolation,-8.14,,-8.08,0.0600000000000005
55,2009-01-01 09:20:00,random,none,20,linear_interpolation,-7.56,,-7.5,0.05999999999999961
59,2009-01-01 10:00:00,random,none,20,linear_interpolation,-7.04,,-7.063333,0.023333000000000048
60,2009-01-01 10:10:00,random,none,20,linear_interpolation,-7.03,,-7.106667,0.0766669999999996
64,2009-01-01 10:50:00,random,none,20,linear_interpolation,-7.35,,-7.386667,0.03666700000000045
65,2009-01-01 11:00:00,random,none,20,linear_interpolation,-7.41,,-7.433333,0.023333000000000048
70,2009-01-01 11:50:00,random,none,20,linear_interpolation,-7.03,,-7.015,0.015000000000000568
75,2009-01-01 12:40:00,random,none,20,linear_interpolation,-6.51,,-6.41,0.09999999999999964
77,2009-01-01 13:00:00,random,none,20,linear_interpolation,-5.89,,-6.02,0.1299999999999999
80,2009-01-01 13:30:00,random,none,20,linear_interpolation,-5.9,,-5.8,0.10000000000000053
81,2009-01-01 13:40:00,random,none,20,linear_interpolation,-5.97,,-5.84,0.1299999999999999
86,2009-01-01 14:30:00,random,none,20,linear_interpolation,-5.75,,-5.76,0.009999999999999787
89,2009-01-01 15:00:00,random,none,20,linear_interpolation,-5.69,,-5.63,0.0600000000000005
98,2009-01-01 16:30:00,random,none,20,linear_interpolation,-5.32,,-5.296667,0.023333000000000048
99,2009-01-01 16:40:00,random,none,20,linear_interpolation,-5.29,,-5.313333,0.023333000000000048
101,2009-01-01 17:00:00,random,none,20,linear_interpolation,-5.37,,-5.38,0.009999999999999787
105,2009-01-01 17:40:00,random,none,20,linear_interpolation,-5.21,,-5.225,0.01499999999999968
107,2009-01-01 18:00:00,random,none,20,linear_interpolation,-5.25,,-5.2,0.04999999999999982
110,2009-01-01 18:30:00,random,none,20,linear_interpolation,-5.04,,-5.065,0.025000000000000355
