index,timestamp,original_temperature,damaged_temperature,reconstructed_temperature,mask,scenario,block_position,missing_rate,method
0,2009-01-01 00:10:00,-8.020000,-8.020000,-8.020000,0,random,none,0.40,forward_fill
1,2009-01-01 00:20:00,-8.410000,-8.410000,-8.410000,0,random,none,0.40,forward_fill
2,2009-01-01 00:30:00,-8.510000,,-8.410000,1,random,none,0.40,forward_fill
3,2009-01-01 00:40:00,-8.310000,-8.310000,-8.310000,0,random,none,0.40,forward_fill
4,2009-01-01 00:50:00,-8.270000,,-8.310000,1,random,none,0.40,forward_fill
5,2009-01-01 01:00:00,-8.050000,-8.050000,-8.050000,0,random,none,0.40,forward_fill
6,2009-01-01 01:10:00,-7.620000,-7.620000,-7.620000,0,random,none,0.40,forward_fill
7,2009-01-01 01:20:00,-7.620000,,-7.620000,1,random,none,0.40,forward_fill
8,2009-01-01 01:30:00,-7.910000,,-7.620000,1,random,none,0.40,forward_fill
9,2009-01-01 01:40:00,-8.430000,-8.430000,-8.430000,0,random,none,0.40,forward_fill
10,2009-01-01 01:50:00,-8.760000,-8.760000,-8.760000,0,random,none,0.40,forward_fill
11,2009-01-01 02:00:00,-8.880000,-8.880000,-8.880000,0,random,none,0.40,forward_fill
12,2009-01-01 02:10:00,-8.850000,,-8.880000,1,random,none,0.40,forward_fill
13,2009-01-01 02:20:00,-8.830000,-8.830000,-8.830000,0,random,none,0.40,forward_fill
14,2009-01-01 02:30:00,-8.660000,,-8.830000,1,random,none,0.40,forward_fill
15,2009-01-01 02:40:00,-8.660000,,-8.830000,1,random,none,0.40,forward_fill
16,2009-01-01 02:50:00,-8.700000,-8.700000,-8.700000,0,random,none,0.40,forward_fill
17,2009-01-01 03:00:00,-8.810000,,-8.700000,1,random,none,0.40,forward_fill
18,2009-01-01 03:10:00,-8.840000,-8.840000,-8.840000,0,random,none,0.40,forward_fill
19,2009-01-01 03:20:00,-8.940000,-8.940000,-8.940000,0,random,none,0.40,forward_fill
20,2009-01-01 03:30:00,-8.940000,,-8.940000,1,random,none,0.40,forward_fill
21,2009-01-01 03:40:00,-8.860000,-8.860000,-8.860000,0,random,none,0.40,forward_fill
22,2009-01-01 03:50:00,-8.990000,,-8.860000,1,random,none,0.40,forward_fill
23,2009-01-01 04:00:00,-9.050000,-9.050000,-9.050000,0,random,none,0.40,forward_fill
24,2009-01-01 04:10:00,-9.230000,,-9.050000,1,random,none,0.40,forward_fill
25,2009-01-01 04:20:00,-9.490000,-9.490000,-9.490000,0,random,none,0.40,forward_fill
26,2009-01-01 04:30:00,-9.500000,-9.500000,-9.500000,0,random,none,0.40,forward_fill
27,2009-01-01 04:40:00,-9.350000,-9.350000,-9.350000,0,random,none,0.40,forward_fill
28,2009-01-01 04:50:00,-9.470000,-9.470000,-9.470000,0,random,none,0.40,forward_fill
29,2009-01-01 05:00:00,-9.630000,,-9.470000,1,random,none,0.40,forward_fill
30,2009-01-01 05:10:00,-9.670000,-9.670000,-9.670000,0,random,none,0.40,forward_fill
31,2009-01-01 05:20:00,-9.680000,-9.680000,-9.680000,0,random,none,0.40,forward_fill
32,2009-01-01 05:30:00,-9.900000,,-9.680000,1,random,none,0.40,forward_fill
33,2009-01-01 05:40:00,-9.910000,,-9.680000,1,random,none,0.40,forward_fill
34,2009-01-01 05:50:00,-9.510000,-9.510000,-9.510000,0,random,none,0.40,forward_fill
35,2009-01-01 06:00:00,-9.670000,-9.670000,-9.670000,0,random,none,0.40,forward_fill
36,2009-01-01 06:10:00,-9.590000,-9.590000,-9.590000,0,random,none,0.40,forward_fill
37,2009-01-01 06:20:00,-9.150000,-9.150000,-9.150000,0,random,none,0.40,forward_fill
38,2009-01-01 06:30:00,-8.910000,,-9.150000,1,random,none,0.40,forward_fill
39,2009-01-01 06:40:00,-9.040000,-9.040000,-9.040000,0,random,none,0.40,forward_fill
40,2009-01-01 06:50:00,-9.430000,,-9.040000,1,random,none,0.40,forward_fill
41,2009-01-01 07:00:00,-9.170000,-9.170000,-9.170000,0,random,none,0.40,forward_fill
42,2009-01-01 07:10:00,-8.710000,,-9.170000,1,random,none,0.40,forward_fill
43,2009-01-01 07:20:00,-8.550000,,-9.170000,1,random,none,0.40,forward_fill
44,2009-01-01 07:30:00,-8.400000,-8.400000,-8.400000,0,random,none,0.40,forward_fill
45,2009-01-01 07:40:00,-8.300000,,-8.400000,1,random,none,0.40,forward_fill
46,2009-01-01 07:50:00,-8.130000,,-8.400000,1,random,none,0.40,forward_fill
47,2009-01-01 08:00:00,-8.100000,-8.100000,-8.100000,0,random,none,0.40,forward_fill
48,2009-01-01 08:10:00,-8.140000,,-8.100000,1,random,none,0.40,forward_fill
49,2009-01-01 08:20:00,-8.060000,,-8.100000,1,random,none,0.40,forward_fill
50,2009-01-01 08:30:00,-7.950000,,-8.100000,1,random,none,0.40,forward_fill
51,2009-01-01 08:40:00,-7.740000,-7.740000,-7.740000,0,random,none,0.40,forward_fill
52,2009-01-01 08:50:00,-7.570000,,-7.740000,1,random,none,0.40,forward_fill
53,2009-01-01 09:00:00,-7.660000,,-7.740000,1,random,none,0.40,forward_fill
54,2009-01-01 09:10:00,-7.710000,,-7.740000,1,random,none,0.40,forward_fill
55,2009-01-01 09:20:00,-7.560000,,-7.740000,1,random,none,0.40,forward_fill
56,2009-01-01 09:30:00,-7.290000,-7.290000,-7.290000,0,random,none,0.40,forward_fill
57,2009-01-01 09:40:00,-7.150000,-7.150000,-7.150000,0,random,none,0.40,forward_fill
58,2009-01-01 09:50:00,-7.020000,-7.020000,-7.020000,0,random,none,0.40,forward_fill
59,2009-01-01 10:00:00,-7.040000,,-7.020000,1,random,none,0.40,forward_fill
60,2009-01-01 10:10:00,-7.030000,-7.030000,-7.030000,0,random,none,0.40,forward_fill
61,2009-01-01 10:20:00,-7.150000,-7.150000,-7.150000,0,random,none,0.40,forward_fill
62,2009-01-01 10:30:00,-7.260000,,-7.150000,1,random,none,0.40,forward_fill
63,2009-01-01 10:40:00,-7.340000,,-7.150000,1,random,none,0.40,forward_fill
64,2009-01-01 10:50:00,-7.350000,-7.350000,-7.350000,0,random,none,0.40,forward_fill
65,2009-01-01 11:00:00,-7.410000,-7.410000,-7.410000,0,random,none,0.40,forward_fill
