missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0.1,neural_net,2.131133,2.5063,-0.633651,101,101
0.1,decision_tree,2.136946,2.510336,-0.664649,101,101
0.1,knn_upgraded,2.150391,2.524702,-0.650891,101,101
0.1,random_forest,2.150663,2.524469,-0.651477,101,101
0.1,linear_interpolation,2.166942,2.540048,-0.669389,101,101
0.1,time_interpolation,2.166942,2.540048,-0.669389,101,101
0.1,knn,2.166942,2.540048,-0.669389,101,101
0.1,adaptive_imputation,2.166942,2.540048,-0.669389,101,101
0.1,cubic_interpolation,2.215864,2.734202,-2.56042,101,101
0.1,spline_interpolation,2.215864,2.734202,-2.56042,101,101
0.1,moving_average,3.187252,3.80695,-1.820845,101,101
0.1,forward_fill,3.431124,4.013972,-2.065805,101,101
0.2,neural_net,2.519846,3.113105,-0.365773,202,202
0.2,knn_upgraded,2.528144,3.114049,-0.359961,202,202
0.2,random_forest,2.529879,3.117413,-0.361089,202,202
0.2,linear_interpolation,2.533557,3.116512,-0.362399,202,202
0.2,time_interpolation,2.533557,3.116512,-0.362399,202,202
0.2,knn,2.533557,3.116512,-0.362399,202,202
0.2,decision_tree,2.535495,3.125431,-0.367186,202,202
0.2,adaptive_imputation,2.628583,3.217745,-0.487344,202,202
0.2,moving_average,3.153236,3.848001,-1.141825,202,202
0.2,forward_fill,3.257493,3.936578,-1.261711,202,202
0.2,cubic_interpolation,6.763322,8.040168,-11.996325,202,202
0.2,spline_interpolation,6.763332,8.040179,-11.996343,202,202
0.3,neural_net,3.750679,4.445893,-1.127551,302,302
0.3,knn_upgraded,3.755148,4.446969,-1.130175,302,302
0.3,linear_interpolation,3.756371,4.447514,-1.133027,302,302
0.3,time_interpolation,3.756371,4.447514,-1.133027,302,302
0.3,knn,3.756371,4.447514,-1.133027,302,302
0.3,random_forest,3.765597,4.45796,-1.139579,302,302
0.3,decision_tree,3.770388,4.461006,-1.128995,302,302
0.3,moving_average,4.695084,5.488928,-1.839297,302,302
0.3,forward_fill,4.773826,5.545653,-1.889076,302,302
0.3,adaptive_imputation,5.660184,6.662549,-6.221592,302,302
0.3,cubic_interpolation,9.197935,10.702716,-14.633267,302,302
0.3,spline_interpolation,9.197935,10.702716,-14.633267,302,302
0.4,random_forest,2.81633,3.501779,-0.66968,403,403
0.4,knn_upgraded,2.822253,3.507215,-0.666334,403,403
0.4,decision_tree,2.827585,3.516445,-0.688485,403,403
0.4,neural_net,2.829688,3.519828,-0.687736,403,403
0.4,adaptive_imputation,2.829895,3.515479,-0.676975,403,403
0.4,linear_interpolation,2.834917,3.520407,-0.683923,403,403
0.4,time_interpolation,2.834917,3.520407,-0.683923,403,403
0.4,knn,2.834917,3.520407,-0.683923,403,403
0.4,moving_average,3.973608,4.787446,-1.387158,403,403
0.4,forward_fill,4.047579,4.846958,-1.441236,403,403
0.4,cubic_interpolation,11.470825,13.505851,-30.887748,403,403
0.4,spline_interpolation,11.470825,13.505851,-30.887748,403,403
0.5,random_forest,3.088214,3.870127,-0.213484,504,504
0.5,neural_net,3.088504,3.873226,-0.215744,504,504
0.5,linear_interpolation,3.089735,3.874898,-0.213398,504,504
0.5,time_interpolation,3.089735,3.874898,-0.213398,504,504
0.5,knn,3.089735,3.874898,-0.213398,504,504
0.5,knn_upgraded,3.090348,3.872907,-0.21137,504,504
0.5,decision_tree,3.091474,3.872971,-0.215473,504,504
0.5,moving_average,3.964948,4.808101,-0.78486,504,504
0.5,forward_fill,4.017527,4.84588,-0.816699,504,504
0.5,adaptive_imputation,4.893754,5.951245,-4.404061,504,504
0.5,cubic_interpolation,12.443727,14.489677,-28.107222,504,504
0.5,spline_interpolation,12.443727,14.489677,-28.107222,504,504
0.6,neural_net,3.728474,4.547105,-0.792294,605,605
0.6,linear_interpolation,3.733626,4.54012,-0.781882,605,605
0.6,time_interpolation,3.733626,4.54012,-0.781882,605,605
0.6,knn,3.733626,4.54012,-0.781882,605,605
0.6,knn_upgraded,3.734643,4.543069,-0.784131,605,605
0.6,decision_tree,3.74019,4.550316,-0.78707,605,605
0.6,random_forest,3.748132,4.557384,-0.80199,605,605
0.6,adaptive_imputation,4.333969,5.140074,-1.545846,605,605
