missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0.1,linear_interpolation,0.491302,0.587023,-2.425467,101,101
0.1,time_interpolation,0.491302,0.587023,-2.425467,101,101
0.1,forward_fill,0.676733,0.747372,-4.552437,101,101
0.1,cubic_interpolation,0.861516,1.025999,-9.464144,101,101
0.1,spline_interpolation,0.861516,1.025999,-9.464144,101,101
0.1,random_forest,1.410898,1.446109,-19.787961,101,101
0.1,decision_tree,1.756183,1.887329,-34.408275,101,101
0.1,knn,3.512887,4.000724,-158.106099,101,101
0.2,linear_interpolation,1.144875,1.298753,-2.611996,202,202
0.2,time_interpolation,1.144875,1.298753,-2.611996,202,202
0.2,cubic_interpolation,1.342015,1.5821,-4.359963,202,202
0.2,spline_interpolation,1.342015,1.5821,-4.359963,202,202
0.2,decision_tree,1.353909,1.445936,-3.477053,202,202
0.2,random_forest,2.089221,2.188783,-9.258871,202,202
0.2,forward_fill,2.142921,2.244245,-9.78536,202,202
0.2,knn,5.384372,6.567799,-91.370614,202,202
0.3,cubic_interpolation,3.919389,4.800258,-13.3868,302,302
0.3,spline_interpolation,3.919389,4.800258,-13.3868,302,302
0.3,linear_interpolation,4.055464,4.300194,-10.545459,302,302
0.3,time_interpolation,4.055464,4.300194,-10.545459,302,302
0.3,decision_tree,4.628286,4.884673,-13.897251,302,302
0.3,random_forest,5.16505,5.313399,-16.627059,302,302
0.3,forward_fill,5.970464,6.10312,-22.256207,302,302
0.3,knn,6.54941,7.918266,-38.146708,302,302
0.4,random_forest,2.754525,3.005668,-0.275118,403,403
0.4,forward_fill,3.673722,4.0426,-1.306693,403,403
0.4,linear_interpolation,5.313284,5.841394,-3.816163,403,403
0.4,time_interpolation,5.313284,5.841394,-3.816163,403,403
0.4,knn,6.840654,8.229556,-8.55919,403,403
0.4,decision_tree,7.471544,7.931509,-7.879324,403,403
0.4,cubic_interpolation,9.978282,11.095336,-16.375973,403,403
0.4,spline_interpolation,9.978282,11.095336,-16.375973,403,403
0.5,cubic_interpolation,1.219242,1.726106,0.796586,504,504
0.5,spline_interpolation,1.219242,1.726106,0.796586,504,504
0.5,forward_fill,2.854603,4.114514,-0.155799,504,504
0.5,random_forest,2.897796,4.289539,-0.256222,504,504
0.5,linear_interpolation,5.461431,6.385541,-1.783816,504,504
0.5,time_interpolation,5.461431,6.385541,-1.783816,504,504
0.5,knn,7.323906,9.508743,-5.172929,504,504
0.5,decision_tree,11.376159,11.979661,-8.797925,504,504
0.6,forward_fill,3.393025,4.762414,-0.091859,605,605
0.6,random_forest,3.483003,4.64294,-0.037764,605,605
0.6,linear_interpolation,4.080799,4.786952,-0.10314,605,605
0.6,time_interpolation,4.080799,4.786952,-0.10314,605,605
0.6,cubic_interpolation,4.357731,5.380387,-0.393604,605,605
0.6,spline_interpolation,4.357731,5.380387,-0.393604,605,605
0.6,knn,7.240249,9.558033,-3.397942,605,605
0.6,decision_tree,7.609015,8.306656,-2.321734,605,605
0.7,forward_fill,3.87915,5.454438,-0.100568,706,706
0.7,random_forest,3.891704,5.42972,-0.090615,706,706
0.7,knn,6.556386,8.873002,-1.912446,706,706
0.7,linear_interpolation,6.606983,7.91462,-1.317271,706,706
0.7,time_interpolation,6.606983,7.91462,-1.317271,706,706
0.7,cubic_interpolation,12.3579,13.644695,-5.887226,706,706
0.7,spline_interpolation,12.3579,13.644695,-5.887226,706,706
0.7,decision_tree,14.765993,15.654369,-8.065417,706,706
0.8,forward_fill,4.631563,6.393105,-0.067288,806,806
0.8,random_forest,4.638203,6.385785,-0.064845,806,806
0.8,knn,5.901104,7.182478,-0.347121,806,806
0.8,linear_interpolation,6.862445,8.259125,-0.781255,806,806
0.8,time_interpolation,6.862445,8.259125,-0.781255,806,806
0.8,cubic_interpolation,7.660307,8.943082,-1.088489,806,806
0.8,spline_interpolation,7.660307,8.943082,-1.088489,806,806
0.8,decision_tree,15.421663,16.610538,-6.204855,806,806
