missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0.1,decision_tree,0.731291,0.8856,0.608808,101,101
0.1,random_forest,0.775232,0.954129,0.545923,101,101
0.1,neural_net,0.879293,1.096598,0.400196,101,101
0.1,knn_upgraded,0.960957,1.217935,0.260117,101,101
0.1,linear_interpolation,0.963647,1.228095,0.247721,101,101
0.1,time_interpolation,0.963647,1.228095,0.247721,101,101
0.1,knn,0.963647,1.228095,0.247721,101,101
0.1,adaptive_imputation,0.963647,1.228095,0.247721,101,101
0.1,moving_average,1.081701,1.320766,0.129904,101,101
0.1,spline_interpolation,1.088589,1.343593,0.09957,101,101
0.1,cubic_interpolation,1.102206,1.220266,0.257282,101,101
0.1,forward_fill,1.238614,1.475901,-0.086499,101,101
0.2,linear_interpolation,0.699069,0.888876,0.763891,202,202
0.2,time_interpolation,0.699069,0.888876,0.763891,202,202
0.2,knn,0.699069,0.888876,0.763891,202,202
0.2,adaptive_imputation,0.699069,0.888876,0.763891,202,202
0.2,neural_net,0.723714,0.894684,0.760796,202,202
0.2,random_forest,0.787965,0.914119,0.750291,202,202
0.2,knn_upgraded,0.844617,1.018197,0.690192,202,202
0.2,decision_tree,1.127623,1.259195,0.526178,202,202
0.2,cubic_interpolation,1.676155,1.77132,0.062388,202,202
0.2,spline_interpolation,2.193331,2.32589,-0.616617,202,202
0.2,moving_average,2.221283,2.564998,-0.966089,202,202
0.2,forward_fill,2.339307,2.657889,-1.111069,202,202
0.3,adaptive_imputation,1.932487,2.184236,-0.199971,302,302
0.3,linear_interpolation,2.127212,2.394684,-0.442341,302,302
0.3,time_interpolation,2.127212,2.394684,-0.442341,302,302
0.3,knn,2.127212,2.394684,-0.442341,302,302
0.3,neural_net,2.245054,2.5608,-0.649389,302,302
0.3,knn_upgraded,2.290295,2.570701,-0.662168,302,302
0.3,random_forest,2.351841,2.654701,-0.772568,302,302
0.3,decision_tree,2.444239,2.754736,-0.908673,302,302
0.3,moving_average,2.986932,3.382316,-1.877399,302,302
0.3,forward_fill,3.018344,3.391453,-1.892966,302,302
0.3,cubic_interpolation,5.891267,6.847681,-10.793933,302,302
0.3,spline_interpolation,7.70471,8.713041,-18.094626,302,302
0.4,linear_interpolation,1.803785,2.109271,0.055432,403,403
0.4,time_interpolation,1.803785,2.109271,0.055432,403,403
0.4,knn,1.803785,2.109271,0.055432,403,403
