scenario,block_position,missing_rate,best_method_mae,mae,rmse,r2
random,none,0.1,cubic_interpolation,0.0406,0.050289,0.999283
random,none,0.2,cubic_interpolation,0.048762,0.06724,0.998666
random,none,0.3,cubic_interpolation,0.044815,0.060635,0.99907
random,none,0.4,linear_interpolation,0.061983,0.091954,0.998025
random,none,0.5,linear_interpolation,0.067558,0.09845,0.997632
random,none,0.6,linear_interpolation,0.073223,0.105291,0.997431
random,none,0.7,linear_interpolation,0.081516,0.11185,0.997064
random,none,0.8,linear_interpolation,0.091938,0.125903,0.996359
block,none,0.1,linear_interpolation,0.121402,0.142755,0.486728
block,none,0.2,cubic_interpolation,0.194553,0.273691,0.915547
block,none,0.3,linear_interpolation,0.440553,0.560228,0.583264
block,none,0.4,linear_interpolation,0.690333,0.916761,0.661598
block,none,0.5,forward_fill,0.691319,0.89193,-0.330727
block,none,0.6,linear_interpolation,0.610821,0.702896,0.612782
block,none,0.7,linear_interpolation,0.771952,0.878124,0.495312
block,none,0.8,linear_interpolation,0.670461,0.927421,0.791443
block_start,start,0.1,linear_interpolation,0.221207,0.286968,0.691326
block_start,start,0.2,forward_fill,0.809655,0.959244,-0.725779
block_start,start,0.3,cubic_interpolation,0.971258,1.194274,-0.021377
block_start,start,0.4,linear_interpolation,0.87633,1.188737,0.414398
block_start,start,0.5,linear_interpolation,0.773673,1.008189,0.668223
block_start,start,0.6,linear_interpolation,0.91579,1.045103,0.667049
block_start,start,0.7,linear_interpolation,0.699069,0.888876,0.763891
block_start,start,0.8,linear_interpolation,0.693941,0.937296,0.779353
block_middle,middle,0.1,decision_tree,0.10811,0.13216,0.134227
block_middle,middle,0.2,forward_fill,0.338448,0.402944,-1.861601
block_middle,middle,0.3,linear_interpolation,0.255437,0.30524,0.103411
block_middle,middle,0.4,linear_interpolation,0.266528,0.309238,0.496148
block_middle,middle,0.5,linear_interpolation,0.547284,0.598707,0.272026
block_middle,middle,0.6,linear_interpolation,0.539469,0.624702,0.701571
block_middle,middle,0.7,linear_interpolation,0.967061,1.130256,0.419112
block_middle,middle,0.8,linear_interpolation,1.43703,1.575938,0.26355
block_end,end,0.1,linear_interpolation,0.196977,0.252333,0.725832
block_end,end,0.2,linear_interpolation,0.353793,0.394,0.656453
block_end,end,0.3,cubic_interpolation,0.667062,0.769711,-0.406269
block_end,end,0.4,random_forest,1.026029,1.248723,-1.70824
block_end,end,0.5,decision_tree,0.817639,1.087308,-0.964207
block_end,end,0.6,cubic_interpolation,0.722704,0.818569,-0.049125
block_end,end,0.7,linear_interpolation,1.17599,1.363479,-1.2691
block_end,end,0.8,linear_interpolation,1.593685,1.740442,-1.036641
