missing_rate,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
0.1,spline_interpolation,0.047038,0.082779,0.999798,101,101
0.1,adaptive_imputation,0.047038,0.082779,0.999798,101,101
0.1,cubic_interpolation,0.047199,0.082943,0.999798,101,101
0.1,linear_interpolation,0.062591,0.098294,0.999716,101,101
0.1,time_interpolation,0.062591,0.098294,0.999716,101,101
0.1,knn,0.062591,0.098294,0.999716,101,101
0.1,random_forest,0.065734,0.105061,0.999675,101,101
0.1,knn_upgraded,0.06957,0.106019,0.999669,101,101
0.1,neural_net,0.072439,0.117532,0.999594,101,101
0.1,decision_tree,0.076094,0.120925,0.99957,101,101
0.1,moving_average,0.146382,0.221196,0.998561,101,101
0.1,forward_fill,0.158713,0.286686,0.997583,101,101
0.2,spline_interpolation,0.063508,0.105197,0.9997,202,202
0.2,adaptive_imputation,0.063508,0.105197,0.9997,202,202
0.2,cubic_interpolation,0.063528,0.105162,0.9997,202,202
0.2,linear_interpolation,0.073036,0.118472,0.999619,202,202
0.2,time_interpolation,0.073036,0.118472,0.999619,202,202
0.2,knn,0.073036,0.118472,0.999619,202,202
0.2,random_forest,0.0782,0.125888,0.99957,202,202
0.2,decision_tree,0.081866,0.133382,0.999517,202,202
0.2,neural_net,0.087138,0.13572,0.9995,202,202
0.2,knn_upgraded,0.09221,0.146364,0.999419,202,202
0.2,forward_fill,0.163465,0.258849,0.998181,202,202
0.2,moving_average,0.179559,0.299766,0.997561,202,202
0.3,linear_interpolation,0.083355,0.140089,0.999457,302,302
0.3,time_interpolation,0.083355,0.140089,0.999457,302,302
0.3,knn,0.083355,0.140089,0.999457,302,302
0.3,adaptive_imputation,0.083355,0.140089,0.999457,302,302
0.3,random_forest,0.083977,0.136783,0.999482,302,302
0.3,spline_interpolation,0.087927,0.178875,0.999114,302,302
0.3,cubic_interpolation,0.08794,0.178861,0.999115,302,302
0.3,decision_tree,0.093014,0.149362,0.999383,302,302
0.3,neural_net,0.095012,0.152418,0.999357,302,302
0.3,knn_upgraded,0.101496,0.159801,0.999293,302,302
0.3,forward_fill,0.18202,0.298881,0.997527,302,302
0.3,moving_average,0.198613,0.320725,0.997153,302,302
0.4,spline_interpolation,0.09077,0.172446,0.999166,403,403
0.4,adaptive_imputation,0.09077,0.172446,0.999166,403,403
0.4,cubic_interpolation,0.090897,0.172558,0.999165,403,403
0.4,random_forest,0.093771,0.151937,0.999352,403,403
0.4,linear_interpolation,0.094959,0.159641,0.999285,403,403
0.4,time_interpolation,0.094959,0.159641,0.999285,403,403
0.4,knn,0.094959,0.159641,0.999285,403,403
0.4,decision_tree,0.106212,0.182166,0.999069,403,403
0.4,knn_upgraded,0.121366,0.186738,0.999022,403,403
0.4,neural_net,0.12381,0.188192,0.999006,403,403
0.4,moving_average,0.203813,0.328143,0.996979,403,403
0.4,forward_fill,0.215707,0.349933,0.996565,403,403
0.5,spline_interpolation,0.099718,0.210942,0.998762,504,504
0.5,adaptive_imputation,0.099718,0.210942,0.998762,504,504
0.5,cubic_interpolation,0.099811,0.211011,0.998761,504,504
0.5,random_forest,0.100198,0.165042,0.999242,504,504
0.5,linear_interpolation,0.101995,0.180866,0.99909,504,504
0.5,time_interpolation,0.101995,0.180866,0.99909,504,504
0.5,knn,0.101995,0.180866,0.99909,504,504
0.5,decision_tree,0.126604,0.217824,0.99868,504,504
0.5,knn_upgraded,0.136427,0.214644,0.998718,504,504
0.5,neural_net,0.142863,0.238511,0.998417,504,504
0.5,moving_average,0.229271,0.36859,0.99622,504,504
0.5,forward_fill,0.241548,0.397881,0.995596,504,504
0.6,cubic_interpolation,0.122993,0.236891,0.99847,605,605
0.6,adaptive_imputation,0.122993,0.236891,0.99847,605,605
0.6,spline_interpolation,0.123189,0.237052,0.998468,605,605
0.6,linear_interpolation,0.127625,0.248372,0.998319,605,605
0.6,time_interpolation,0.127625,0.248372,0.998319,605,605
0.6,knn,0.127625,0.248372,0.998319,605,605
0.6,random_forest,0.129065,0.252788,0.998258,605,605
0.6,decision_tree,0.15008,0.265416,0.99808,605,605
0.6,knn_upgraded,0.161363,0.27413,0.997952,605,605
0.6,neural_net,0.175435,0.279845,0.997865,605,605
0.6,moving_average,0.232347,0.373313,0.996201,605,605
0.6,forward_fill,0.27405,0.423516,0.995111,605,605
0.7,linear_interpolation,0.177387,0.332024,0.997066,706,706
0.7,time_interpolation,0.177387,0.332024,0.997066,706,706
0.7,knn,0.177387,0.332024,0.997066,706,706
0.7,adaptive_imputation,0.177387,0.332024,0.997066,706,706
0.7,random_forest,0.190382,0.362773,0.996498,706,706
0.7,knn_upgraded,0.208226,0.363024,0.996493,706,706
0.7,decision_tree,0.209452,0.399204,0.995759,706,706
0.7,cubic_interpolation,0.213796,0.469148,0.994143,706,706
0.7,spline_interpolation,0.213956,0.469216,0.994141,706,706
0.7,neural_net,0.218129,0.373708,0.996283,706,706
0.7,moving_average,0.295459,0.513447,0.992984,706,706
0.7,forward_fill,0.40762,0.718256,0.986271,706,706
0.8,linear_interpolation,0.17855,0.314456,0.997359,806,806
0.8,time_interpolation,0.17855,0.314456,0.997359,806,806
0.8,knn,0.17855,0.314456,0.997359,806,806
0.8,adaptive_imputation,0.17855,0.314456,0.997359,806,806
0.8,random_forest,0.182931,0.314609,0.997356,806,806
0.8,spline_interpolation,0.193612,0.344311,0.996833,806,806
0.8,cubic_interpolation,0.193895,0.344621,0.996827,806,806
0.8,knn_upgraded,0.201257,0.332668,0.997044,806,806
0.8,decision_tree,0.236806,0.374841,0.996247,806,806
0.8,neural_net,0.253086,0.388563,0.995967,806,806
0.8,moving_average,0.352796,0.660646,0.988341,806,806
0.8,forward_fill,0.541638,0.983812,0.974145,806,806
