scenario,block_position,missing_rate,missing_rate_pct,method,mae,rmse,r2,number_of_missing_values,number_of_evaluated_values
block,none,0.1,10,adaptive_imputation,1.028467,1.188035,-1.631096,101,101
block,none,0.1,10,cubic_interpolation,1.160414,1.397769,-2.642077,101,101
block,none,0.1,10,decision_tree,2.986913,3.15892,-17.60183,101,101
block,none,0.1,10,forward_fill,1.543465,1.708428,-4.440913,101,101
block,none,0.1,10,knn,1.021762,1.167367,-1.54035,101,101
block,none,0.1,10,knn_upgraded,2.617323,3.028316,-16.095465,101,101
block,none,0.1,10,linear_interpolation,1.028467,1.188035,-1.631096,101,101
block,none,0.1,10,moving_average,1.488393,1.677436,-4.2453,101,101
block,none,0.1,10,random_forest,1.844602,1.9509,-6.094935,101,101
block,none,0.1,10,spline_interpolation,1.160414,1.397769,-2.642077,101,101
block,none,0.1,10,time_interpolation,1.028467,1.188035,-1.631096,101,101
block,none,0.2,20,adaptive_imputation,1.476546,1.696833,-2.678662,202,202
block,none,0.2,20,cubic_interpolation,4.244165,5.098265,-32.209065,202,202
block,none,0.2,20,decision_tree,2.062729,2.244446,-5.43621,202,202
block,none,0.2,20,forward_fill,1.605396,1.833026,-3.292882,202,202
block,none,0.2,20,knn,1.529406,1.725977,-2.806113,202,202
block,none,0.2,20,knn_upgraded,2.135378,2.575273,-7.473412,202,202
block,none,0.2,20,linear_interpolation,1.476546,1.696833,-2.678662,202,202
block,none,0.2,20,moving_average,1.599031,1.830842,-3.282661,202,202
block,none,0.2,20,random_forest,2.468215,2.616051,-7.743878,202,202
block,none,0.2,20,spline_interpolation,4.244165,5.098265,-32.209065,202,202
block,none,0.2,20,time_interpolation,1.476546,1.696833,-2.678662,202,202
block,none,0.3,30,adaptive_imputation,3.428633,4.045308,0.398048,302,302
block,none,0.3,30,cubic_interpolation,7.759924,9.552009,-2.356202,302,302
block,none,0.3,30,decision_tree,9.785588,10.926262,-3.391388,302,302
block,none,0.3,30,forward_fill,4.101755,6.539254,-0.57295,302,302
block,none,0.3,30,knn,3.354298,5.520661,-0.121091,302,302
block,none,0.3,30,knn_upgraded,5.717366,6.979249,-0.791744,302,302
block,none,0.3,30,linear_interpolation,3.428633,4.045308,0.398048,302,302
block,none,0.3,30,moving_average,3.817837,6.189037,-0.40898,302,302
block,none,0.3,30,random_forest,3.985979,6.033054,-0.338853,302,302
block,none,0.3,30,spline_interpolation,7.759924,9.552009,-2.356202,302,302
block,none,0.3,30,time_interpolation,3.428633,4.045308,0.398048,302,302
block,none,0.4,40,adaptive_imputation,2.930832,3.605338,0.724835,403,403
block,none,0.4,40,cubic_interpolation,27.73717,31.85428,-20.48012,403,403
block,none,0.4,40,decision_tree,13.882506,15.490732,-4.079781,403,403
block,none,0.4,40,forward_fill,7.38273,10.069521,-1.14644,403,403
block,none,0.4,40,knn,4.335603,6.116109,0.208134,403,403
block,none,0.4,40,knn_upgraded,5.033293,6.657789,0.061658,403,403
block,none,0.4,40,linear_interpolation,2.930832,3.605338,0.724835,403,403
block,none,0.4,40,moving_average,7.096457,9.764498,-1.018371,403,403
block,none,0.4,40,random_forest,6.684772,9.063206,-0.738861,403,403
block,none,0.4,40,spline_interpolation,27.73717,31.85428,-20.48012,403,403
block,none,0.4,40,time_interpolation,2.930832,3.605338,0.724835,403,403
block,none,0.5,50,adaptive_imputation,5.436198,7.044111,0.142465,504,504
block,none,0.5,50,cubic_interpolation,6.017357,7.44917,0.041007,504,504
block,none,0.5,50,decision_tree,6.940575,7.660931,-0.014291,504,504
block,none,0.5,50,forward_fill,8.246746,10.979342,-1.083302,504,504
block,none,0.5,50,knn,4.700675,6.377979,0.296983,504,504
block,none,0.5,50,knn_upgraded,6.965458,8.512732,-0.252384,504,504
block,none,0.5,50,linear_interpolation,5.436198,7.044111,0.142465,504,504
block,none,0.5,50,moving_average,8.160095,10.944922,-1.07026,504,504
block,none,0.5,50,random_forest,8.058548,10.631426,-0.953362,504,504
block,none,0.5,50,spline_interpolation,6.017357,7.44917,0.041007,504,504
block,none,0.5,50,time_interpolation,5.436198,7.044111,0.142465,504,504
block,none,0.6,60,adaptive_imputation,5.349944,6.872005,0.137597,605,605
block,none,0.6,60,cubic_interpolation,12.831637,15.864213,-3.596002,605,605
block,none,0.6,60,decision_tree,6.636959,7.577757,-0.048636,605,605
block,none,0.6,60,forward_fill,6.70438,9.17697,-0.537949,605,605
block,none,0.6,60,knn,4.92999,6.433861,0.244061,605,605
block,none,0.6,60,knn_upgraded,5.903413,7.239085,0.043003,605,605
block,none,0.6,60,linear_interpolation,5.349944,6.872005,0.137597,605,605
block,none,0.6,60,moving_average,6.664134,9.163444,-0.533418,605,605
block,none,0.6,60,random_forest,6.578696,7.661992,-0.072079,605,605
block,none,0.6,60,spline_interpolation,12.831637,15.864213,-3.596002,605,605
block,none,0.6,60,time_interpolation,5.349944,6.872005,0.137597,605,605
block,none,0.7,70,adaptive_imputation,3.504263,4.856674,-0.058613,706,706
block,none,0.7,70,cubic_interpolation,10.142284,11.173684,-4.603406,706,706
block,none,0.7,70,decision_tree,12.65971,13.51109,-7.192946,706,706
block,none,0.7,70,forward_fill,3.504263,4.856674,-0.058613,706,706
block,none,0.7,70,knn,6.364011,8.927862,-2.577291,706,706
block,none,0.7,70,knn_upgraded,7.375774,9.672689,-3.199077,706,706
block,none,0.7,70,linear_interpolation,5.738114,7.040671,-1.224782,706,706
block,none,0.7,70,moving_average,3.400939,4.706856,0.005692,706,706
block,none,0.7,70,random_forest,3.605521,4.779413,-0.0252,706,706
block,none,0.7,70,spline_interpolation,10.142284,11.173684,-4.603406,706,706
block,none,0.7,70,time_interpolation,5.738114,7.040671,-1.224782,706,706
block,none,0.8,80,adaptive_imputation,4.797548,6.109414,0.166003,806,806
block,none,0.8,80,cubic_interpolation,22.927582,28.308675,-16.90625,806,806
block,none,0.8,80,decision_tree,5.829235,6.697194,-0.002193,806,806
block,none,0.8,80,forward_fill,5.333685,7.456585,-0.242355,806,806
block,none,0.8,80,knn,4.526067,5.93846,0.212024,806,806
block,none,0.8,80,knn_upgraded,5.090044,6.375324,0.091824,806,806
