metoda,n_parova,srednja_razlika,ci95_lo,ci95_hi,pobjeda,poraz,nerijeseno,p,p_holm,znacajno
knn,800,0.0,0.0,0.0,0,0,800,1.0,1.0,ne
time_interpolation,800,0.0,0.0,0.0,0,0,800,1.0,1.0,ne
knn_upgraded,800,0.011150338750000002,-0.0028416243437500077,0.02541796084375,356,444,0,0.004506365163819552,0.018025460655278207,DA (losija)
neural_net,800,0.02336999875,0.0132330403125,0.03388057715625001,282,518,0,7.624604601890854e-14,4.574762761134512e-13,DA (losija)
random_forest,800,0.031901716249999996,0.012810766999999999,0.05115055815624998,368,432,0,0.013488775477774781,0.040466326433324346,DA (losija)
decision_tree,800,0.07327030250000002,0.04671797250000001,0.10232113112499999,285,513,2,2.6244638991288377e-13,1.3122319495644188e-12,DA (losija)
moving_average,800,0.73707109625,0.6273980197187501,0.84519333496875,210,590,0,1.3086991465913594e-40,1.0469593172730875e-39,DA (losija)
forward_fill,800,0.811745595,0.7018582579999999,0.92243183153125,202,598,0,4.007395497297656e-47,3.6066559475678904e-46,DA (losija)
adaptive_imputation,800,1.5442520912499997,1.15343006809375,1.9857097139375,155,271,374,7.205918754086464e-20,5.044143127860524e-19,DA (losija)
cubic_interpolation,800,5.99350434875,5.217265790000001,6.812826190749999,199,601,0,7.152976687390228e-73,7.152976687390228e-72,DA (losija)
spline_interpolation,800,7.3038038937500005,6.352648020968751,8.307372318906248,187,613,0,6.572705584664103e-80,7.229976143130513e-79,DA (losija)
